Network,IP,pShortage,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,pIr90,pIr180,pIs90,pIs180
A,Const,5%,25.08312387,787.7119731,57.57662916,809.1167667,6.365403099,20.38116215,52.20716352,1022.041764,102.1536132,1026.318844,31.8,71.2,51.1,99.5
A,Const,5%,35.0536207,791.3982405,68.17710124,814.3370768,9.394558412,23.29409327,59.23124469,1022.097093,110.5782545,1026.84782,44.3,83.7,58,107.7
A,Const,5%,33.15722807,792.4558599,66.0529211,812.5555938,10.26525864,22.24893038,57.82275052,1022.14104,107.9144009,1026.701821,41.8,81.3,56.6,105.1
A,Const,5%,29.45386312,789.9553522,56.74612119,809.197514,8.110162821,19.67869076,53.48775226,1021.999365,101.5042637,1026.297084,37.3,70.1,52.3,98.9
A,Const,5%,25.94228238,788.7800761,52.52014047,806.4250099,7.200772432,17.9222278,55.27015142,1022.095547,106.1388049,1026.521143,32.9,65.1,54.1,103.4
A,Const,5%,28.39521298,789.6092521,59.85682689,810.5769362,7.855225768,20.87786566,56.09566263,1022.058314,103.3532376,1026.529014,36,73.8,54.9,100.7
A,Const,5%,26.77478318,788.2799984,53.72405378,805.5850737,7.076978775,17.51321016,51.06549067,1021.969909,99.11031409,1026.166984,34,66.7,50,96.6
A,Const,5%,29.12495072,790.1703652,72.11752965,815.3901056,8.477473906,24.63246678,57.34348119,1022.135974,113.3407625,1026.810638,36.9,88.4,56.1,110.4
A,Const,5%,16.47852762,786.0829986,52.4080584,803.956457,4.805932923,16.8876445,48.81752817,1021.96,101.2543522,1026.05331,21,65.2,47.8,98.7
A,Const,5%,31.37327816,791.8596904,58.18604673,810.2955592,9.777883268,20.53637893,56.05160545,1022.121165,103.4580527,1026.557629,39.6,71.8,54.8,100.8
A,Const,5%,29.34332701,790.2089548,58.86963803,809.325425,8.452225016,20.15990885,55.3308823,1022.132532,102.7351949,1026.451469,37.1,72.7,54.1,100.1
A,Const,5%,29.54969182,791.552265,57.05356187,809.5906763,9.651707522,20.18840096,57.77478657,1022.123512,106.4721679,1026.749857,37.3,70.5,56.5,103.7
A,Const,5%,18.13182149,786.7438609,43.93494764,802.0870334,5.50567181,15.12668004,50.86871071,1021.999504,99.94191519,1026.24761,23,54.8,49.8,97.4
A,Const,5%,23.60480488,787.8424956,42.76369184,802.5482043,6.584573872,15.45045029,54.16222432,1022.042249,96.66594677,1026.100717,30,53.3,53,94.2
A,Const,5%,31.09853658,790.421023,62.40897968,812.196523,8.748122615,21.98140818,56.77828583,1022.073797,106.1941847,1026.587576,39.3,76.8,55.6,103.4
A,Const,5%,31.1924832,789.7494903,53.77080397,808.5728654,8.079400899,18.97327129,55.90610488,1022.026066,103.4389943,1026.459505,39.5,66.5,54.7,100.8
A,Const,5%,32.4460039,791.6101122,63.62424504,813.3234896,9.509451412,22.51603795,55.95475676,1022.102142,105.4360978,1026.524658,41,78.2,54.7,102.7
A,Const,5%,34.58491078,791.430363,52.68668902,809.5152405,9.311403276,19.41741925,57.78125645,1022.142476,101.3395756,1026.574624,43.7,65.1,56.5,98.7
A,Const,5%,33.23250977,789.5954097,64.14454239,814.073921,7.951828373,23.28315187,57.67809498,1022.00922,110.0917662,1026.722694,42.1,78.8,56.4,107.2
A,Const,5%,22.60747196,788.8817127,49.55422144,804.878993,7.170312177,17.03621048,53.09645634,1022.057409,101.8848683,1026.279563,28.7,61.6,52,99.3
A,Const,5%,24.75860358,788.6385329,46.91961088,804.0179236,6.983563846,16.19404407,53.12764657,1022.082272,99.63860092,1026.4164,31.4,58.4,52,97.1
A,Const,5%,28.92049225,790.263739,51.5573219,807.65043,8.395553279,18.57938801,55.40314963,1022.114553,99.58350709,1026.499565,36.6,63.8,54.2,97
A,Const,5%,28.4733299,791.2690897,54.05350477,807.4850274,9.087203123,18.25236456,53.58295702,1022.0971,102.2040001,1026.444017,36,66.9,52.4,99.6
A,Const,5%,24.28705929,788.4825308,49.96255901,806.2105586,7.093663395,17.84374426,52.59703275,1022.014675,99.29890562,1026.236034,30.8,62,51.5,96.8
A,Const,5%,28.88672142,791.308537,56.83882321,808.9559533,9.234238686,19.67922706,56.79347422,1022.176973,103.486951,1026.645478,36.5,70.3,55.6,100.8
A,Const,5%,26.58658828,789.7004739,56.77157972,808.6708029,8.012700267,19.62136075,55.376416,1022.071985,101.8136514,1026.4215,33.7,70.2,54.2,99.2
A,Const,5%,18.79543631,787.2452467,47.13814116,802.3934767,5.866971405,15.46689173,50.23059591,1022.021968,96.55507084,1025.991253,23.9,58.7,49.1,94.1
A,Const,5%,31.82201445,792.0617418,56.86712254,809.6908798,9.776062318,19.69628272,58.43933495,1022.180602,105.2558814,1026.730361,40.2,70.2,57.2,102.5
A,Const,5%,23.0408158,788.5055699,49.66132245,806.4808548,6.976149751,18.5218216,52.61578417,1022.030184,101.2460846,1026.202726,29.2,61.6,51.5,98.7
A,Const,5%,25.34572892,788.7411262,51.38025963,805.5758468,7.205536484,17.49041875,54.67113261,1022.076792,101.0782061,1026.345703,32.1,63.8,53.5,98.5
A,Const,5%,25.89722563,788.6441804,55.47387059,807.5865826,7.233793728,19.05272956,48.64871194,1021.991864,97.65639044,1026.016445,32.8,68.7,47.6,95.2
A,Const,5%,31.44870021,791.5259816,52.84591824,807.9624781,9.607068225,18.7107915,56.93848505,1022.074409,102.1888404,1026.494866,39.7,65.4,55.7,99.6
A,Const,5%,25.59762501,789.2618988,50.38619202,805.545127,7.675035193,17.2217863,53.94549608,1022.052737,100.9346648,1026.39985,32.4,62.5,52.8,98.3
A,Const,5%,30.63216049,792.2404774,57.11504664,808.9090895,9.896694435,19.40085064,55.01903725,1022.116891,101.5189105,1026.451986,38.7,70.6,53.8,98.9
A,Const,5%,24.05164061,789.4797411,54.82871421,807.4278121,7.666837735,18.70391679,53.04864863,1022.058738,102.9528077,1026.303218,30.5,67.9,51.9,100.3
A,Const,5%,29.46940105,791.1769213,46.71093777,804.7870703,9.397120806,16.53488482,55.26880632,1022.016071,97.8090429,1026.225132,37.2,58,54.1,95.3
A,Const,5%,32.14796602,790.1820427,56.54952738,809.4611907,8.447061548,20.17711453,55.84967151,1022.060064,102.5697438,1026.477943,40.7,69.9,54.6,99.9
A,Const,5%,20.2061494,787.4375795,49.92079636,804.607168,6.256538559,17.13631104,51.28279558,1022.000024,101.864163,1026.260698,25.7,62,50.2,99.3
A,Const,5%,29.10114319,789.5799698,56.85351051,809.7477996,7.834335325,20.15133253,56.54472093,1022.065803,105.8616431,1026.555022,36.9,70.2,55.3,103.1
A,Const,5%,22.75444006,788.3637332,58.40582664,808.8405319,6.781050685,19.96526989,50.26584319,1022.012329,105.4811694,1026.236496,28.9,72.2,49.2,102.8
A,Const,5%,28.68424327,790.2116276,55.2566551,808.5055157,8.189169034,19.30103098,54.78446994,1022.049424,101.6604682,1026.351702,36.3,68.3,53.6,99.1
A,Const,5%,25.44746705,788.9035871,55.05430962,806.7931697,7.318530817,18.46656626,53.00057192,1022.059552,101.7822619,1026.391178,32.3,68.2,51.9,99.2
A,Const,5%,26.92683983,789.8495771,49.16855398,805.586007,7.869800485,16.98612049,52.02242258,1022.024658,98.67241422,1026.238641,34.1,61,50.9,96.1
A,Const,5%,35.53959016,792.714173,67.47922525,816.0925191,10.45134309,24.20580109,58.58415451,1022.15365,109.8994724,1026.850442,44.8,82.7,57.3,107
A,Const,5%,20.09182364,787.4420187,50.75207274,804.4740084,5.992464087,16.71747862,49.8610361,1021.98536,101.6091844,1026.267664,25.5,63.1,48.8,99
A,Const,5%,26.22627459,790.4087702,47.99681363,805.1978122,8.476484869,16.7643837,53.4816678,1022.03728,98.16073557,1026.205912,33.2,59.6,52.3,95.7
A,Const,5%,22.65338506,788.4886447,48.32099391,804.7154164,7.052016045,17.12190011,52.21236876,1022.083485,97.71128739,1026.194927,28.7,60,51.1,95.2
A,Const,5%,24.62855657,789.8614414,51.35747609,805.2943923,8.310650118,17.18475949,51.71847808,1022.010389,98.25692508,1026.165022,31.2,63.8,50.6,95.8
A,Const,5%,20.74548828,787.9277562,51.9255391,805.3961228,6.358836604,17.51084873,51.09939638,1022.076162,102.7802022,1026.363657,26.3,64.5,50,100.1
A,Const,5%,30.35764275,791.247737,61.50426266,810.4098859,9.060300258,20.8309614,59.65612221,1022.236245,109.695564,1026.976721,38.4,75.9,58.4,106.8
A,Const,5%,22.67706458,786.8488934,45.38900197,802.5337808,5.588791211,15.53658065,53.39295021,1022.006937,101.047856,1026.307089,28.8,56.6,52.2,98.5
A,Const,5%,26.61683027,790.1451369,52.05785554,805.5732419,8.482707663,17.61178726,56.21142318,1022.155596,105.5675545,1026.591714,33.7,64.6,55,102.8
A,Const,5%,22.81037081,788.0612576,43.84855244,801.4638943,6.637561382,14.74342512,49.33631328,1022.002458,94.83595086,1026.019115,28.9,54.7,48.3,92.4
A,Const,5%,19.6409547,787.6044293,49.25174159,804.4619249,6.104471329,17.16372602,49.51724381,1021.909052,99.23140085,1026.033403,24.9,61.2,48.5,96.7
A,Const,5%,36.39679557,794.0162563,60.37602512,812.9783186,11.7531482,22.23302441,60.12157566,1022.121797,106.776227,1026.75745,45.8,74.3,58.8,104
A,Const,5%,21.17747322,787.8852762,46.6748333,804.1131396,6.442177307,16.53864177,52.40254676,1022.021481,97.52567863,1026.157824,26.9,58,51.3,95
A,Const,5%,21.58890707,788.6752966,49.49739578,804.8718306,6.898696433,16.4615869,50.14140608,1022.0071,97.18796991,1026.01855,27.4,61.5,49.1,94.7
A,Const,5%,36.06183612,791.990488,66.7249524,815.1928497,9.774363485,23.40776543,56.72501409,1022.01637,105.6791138,1026.461536,45.5,81.9,55.5,103
A,Const,5%,26.44790993,788.7049657,49.87127195,805.840387,7.111559771,17.25547212,50.97140068,1021.943587,95.76673914,1026.032065,33.5,61.9,49.9,93.3
A,Const,5%,23.60916972,788.8724097,57.39023267,808.3094374,7.088839118,19.55290417,52.90086369,1022.09975,106.1330357,1026.410096,29.9,71,51.8,103.4
A,Const,5%,29.67000088,789.572454,58.36746577,809.5226041,8.028787581,19.94419416,55.88047374,1022.036726,105.4143754,1026.488178,37.6,72.1,54.7,102.7
A,Const,5%,26.90759408,787.6691631,56.24641682,808.079274,6.353850768,19.50048297,55.81477831,1022.015015,103.9258563,1026.325744,34.2,69.6,54.6,101.3
A,Const,5%,25.98062721,788.4972267,52.10819006,807.1600876,6.929501428,18.36801072,50.26918295,1021.964962,97.30767556,1026.135752,32.9,64.6,49.2,94.8
A,Const,5%,19.86494191,787.2841478,53.77548732,804.8608302,5.836275878,17.38992589,50.94692143,1022.027943,101.366113,1026.140578,25.2,66.8,49.8,98.8
A,Const,5%,32.57230742,791.0251736,65.88200885,814.8583919,8.941701221,23.99173285,53.84044244,1022.068722,109.6985818,1026.614591,41.2,80.9,52.7,106.9
A,Const,5%,32.36353094,791.3984995,61.94012709,811.9191468,9.446903319,21.92933142,55.73136116,1022.157151,102.8824394,1026.534952,40.9,76.3,54.5,100.2
A,Const,5%,27.00577702,790.0143731,47.54905564,805.5579597,8.221390607,16.92177866,52.36813378,1022.011373,95.86051217,1026.146606,34.2,59,51.2,93.4
A,Const,5%,32.65116524,790.6732246,60.50037017,811.0238513,8.734380647,20.98304416,56.57896202,1022.107836,101.2673881,1026.553338,41.3,74.6,55.4,98.6
A,Const,5%,33.1314576,791.3971927,54.42471983,809.7034109,9.378490634,19.56277014,57.25372751,1022.089342,101.1511084,1026.481648,41.9,67.2,56,98.5
A,Const,5%,22.87751303,788.4736809,58.06448225,808.1620706,6.952548616,19.75881181,52.05942888,1022.065609,105.1730269,1026.453288,29,71.8,50.9,102.5
A,Const,5%,20.92126974,787.3854298,46.01211337,803.0234731,6.01858727,15.93772875,51.53641112,1021.975427,99.76364433,1026.197936,26.6,57.3,50.4,97.2
A,Const,5%,25.8520901,789.1532205,55.77497598,808.4757948,7.374173194,19.73674105,52.46787951,1022.002575,104.1030117,1026.267846,32.8,69,51.3,101.4
A,Const,5%,30.1469916,790.856577,60.08691536,809.2897995,8.822859788,19.72784632,56.90734505,1022.143339,107.4390222,1026.608078,38.1,74.2,55.7,104.7
A,Const,5%,27.6399184,789.0867673,58.76348903,810.0285386,7.434871837,20.48523867,54.71863802,1022.094693,105.3023641,1026.611873,35,72.5,53.5,102.6
A,Const,5%,20.48970129,786.3693646,41.79004182,801.8681053,5.093733997,14.80905282,50.08891854,1021.949464,95.57756064,1025.95607,26.1,52.1,49,93.2
A,Const,5%,17.95831722,786.0987036,38.09375055,799.522509,5.012932469,13.56350636,50.23485644,1021.920082,94.27511983,1025.963505,22.8,47.6,49.2,91.9
A,Const,5%,29.25329957,789.2753392,62.02737066,811.7680976,7.646256307,21.60290892,56.00081834,1022.078169,110.7101702,1026.65719,37.1,76.4,54.8,107.8
A,Const,5%,18.07692966,785.203715,47.19556281,803.3292077,4.284943202,16.50802629,51.04212187,1021.922761,99.91650685,1026.123225,23,58.7,49.9,97.4
